DATETIME_10M,HOST,CNT
20181103075000,hadoop02,1
20181102200000,gcs7,135
20181103012000,hadoop01,1
20181102185000,ans41,46
20181102123000,gcs4,3
20181102141000,hadoop02,1
20181102160000,KVMHost01,6
20181103080000,ans41,57
20181103081000,dn03,1
20181102092000,hadoop04,1
20181102103000,gcs3,3
20181102104000,DB-01,1
20181103022000,platform2,1424
20181102221000,KVMHost02,4
20181102223000,dn02,1
20181102120000,hadoop02,6
20181102172000,KVMHost02,8
20181102085000,tsdn-svr1,41
20181103090000,hadoop04,6
20181103091000,hadoop02,1
20181103000000,gcs7,137
20181103005000,hadoop02,1
20181103050000,ans41,58
20181103055000,hadoop02,1
20181103055000,gcs5,3
20181102233000,hadoop02,1
20181103043000,gcs1,4292
20181103025000,gcs1,4296
20181102150000,DB-01,6
20181102211000,dn02,1
20181103073000,gcs2,3
20181103080000,gcs6,27
20181102133000,gcs6,3
20181103093000,ans41,46
20181102151000,gcs5,3
20181103035000,tsdn-svr1,204
20181102124000,gcs1,4292
20181102124000,gcs6,3
20181102181000,KVMHost02,4
20181102183000,KVMHost01,1
20181102205000,gcs7,105
20181103082000,hadoop03,1
20181103085000,hadoop04,1
20181102102000,gcs2,3
20181102105000,platform2,1417
20181103091000,gcs4,3
20181102150000,KVMHost02,16
20181102201000,hadoop01,1
20181103061000,KVMHost02,4
20181102223000,gcs3,3
20181102184000,gcs5,3
20181102184000,ans41,46
20181103020000,DB-01,9
20181102172000,hadoop02,1
20181103072000,DB-01,1
20181102125000,gcs6,3
20181102234000,gcs6,3
20181102115000,KVMHost02,4
20181103024000,hadoop01,1
20181102172000,tsdn-db,148
20181102153000,dn03,1
20181102190000,KVMHost01,6
20181102091000,gcs3,3
20181102092000,hadoop03,1
20181102094000,dn03,1
20181102100000,KVMHost02,16
20181103062000,hadoop04,1
20181103063000,KVMHost02,4
20181103064000,DB-01,1
20181102122000,hadoop04,1
20181102124000,gcs4,3
20181103073000,hadoop02,1
20181102144000,gcs3,3
20181102131000,hadoop03,1
20181103031000,tsdn-db,162
20181102163000,gcs5,3
20181103081000,platform2,1412
20181102194000,DB-01,1
20181102194000,dn02,1
20181102161000,gcs2,3
20181102122000,dn02,1
20181102135000,gcs5,3
20181102201000,DB-01,1
20181102233000,dn03,1
20181102091000,DB-01,1
20181102115000,platform2,1418
20181102104000,dn03,1
20181102150000,hadoop01,6
20181103015000,gcs5,3
20181102091000,hadoop04,1
20181102094000,gcs1,4315
20181102100000,hadoop04,6
20181103070000,platform2,1436
20181102205000,DB-01,1
20181102231000,gcs5,3
20181102220000,gcs1,4366
20181102161000,KVMHost02,4
20181102113000,gcs6,3
20181103005000,KVMHost02,4
20181102131000,gcs1,4326
20181102123000,gcs5,3
20181102182000,hadoop03,1
20181103073000,ans41,46
20181103024000,gcs4,3
20181102175000,gcs1,4386
20181102213000,hadoop01,1
20181102083000,ans41,46
20181102084000,gcs3,3
20181103012000,gcs4,3
20181103085000,tsdn-db,187
20181103041000,KVMHost02,4
20181103053000,gcs1,4325
20181102153000,ans41,46
20181102120000,tsdn-svr1,76
20181102120000,gcs7,135
20181102203000,gcs7,105
20181102231000,platform2,1418
20181102101000,hadoop02,1
20181102224000,gcs7,105
20181102113000,KVMHost01,1
20181102114000,gcs5,5
20181102092000,KVMHost02,8
20181102094000,hadoop02,1
20181102141000,DB-01,1
20181102144000,hadoop02,1
20181103014000,gcs2,3
20181103015000,gcs6,3
20181102174000,platform2,1417
20181103050000,gcs5,24
20181102134000,gcs7,105
20181103031000,gcs4,3
20181103032000,gcs3,3
20181103051000,KVMHost01,1
20181102200000,tsdn-svr1,1231
20181103003000,gcs5,3
20181102095000,tsdn-db,153
20181102113000,dn02,1
20181102114000,dn03,1
20181102115000,gcs1,4292
20181102175000,gcs2,3
20181102182000,gcs3,3
20181102082000,hadoop01,1
20181103043000,DB-01,1
20181103000000,hadoop01,9
20181102101000,gcs5,3
20181102223000,gcs6,3
20181102163000,dn03,1
20181103052000,tsdn-svr1,285
20181103085000,gcs2,3
20181102131000,gcs6,3
20181103010000,gcs5,26
20181103015000,gcs2,3
20181103041000,gcs4,3
20181102212000,gcs3,3
20181102161000,KVMHost01,1
20181103053000,gcs7,105
20181102141000,gcs4,3
20181103004000,gcs2,3
20181102124000,hadoop01,1
20181102112000,DB-01,1
20181102094000,tsdn-svr1,261
20181102183000,gcs1,4335
20181102103000,platform2,1388
20181102204000,tsdn-db,149
20181102204000,platform2,1418
20181102172000,hadoop03,1
20181103014000,hadoop03,1
20181103015000,dn02,1
20181102173000,hadoop02,1
20181102084000,ans41,46
20181102085000,gcs2,3
20181102092000,gcs3,3
20181102112000,gcs6,3
20181103031000,KVMHost01,1
20181102200000,gcs5,24
20181102122000,hadoop03,1
20181102123000,dn02,1
20181102160000,gcs2,27
20181102141000,gcs3,3
20181102165000,gcs3,3
20181102214000,hadoop02,1
20181102221000,gcs3,3
20181102224000,DB-01,1
20181102102000,gcs7,105
20181102104000,KVMHost01,1
20181103082000,dn03,1
20181103063000,tsdn-db,158
20181103070000,gcs7,135
20181103022000,hadoop02,1
20181102152000,tsdn-svr1,65
20181102160000,gcs5,24
20181102100000,hadoop02,6
20181102223000,tsdn-svr1,98
20181102164000,KVMHost02,8
20181102211000,DB-01,1
20181102143000,gcs4,3
20181103072000,hadoop03,1
20181103003000,ans41,49
20181102181000,gcs7,105
20181102184000,KVMHost01,1
20181102234000,gcs4,3
20181102093000,hadoop04,1
20181103073000,dn02,1
20181103080000,dn02,6
20181102111000,KVMHost01,1
20181102101000,dn03,1
20181102103000,tsdn-svr1,65
20181102201000,dn02,1
20181102171000,gcs1,4295
20181103051000,KVMHost02,4
20181102162000,gcs5,3
20181102163000,tsdn-db,145
20181102165000,gcs2,3
20181103001000,tsdn-svr1,325
20181103003000,KVMHost02,4
20181102133000,ans41,46
20181103023000,gcs7,105
20181103023000,tsdn-db,159
20181103014000,gcs1,4292
20181102172000,dn03,1
20181102175000,hadoop02,1
20181103045000,KVMHost01,1
20181102122000,gcs3,3
20181102143000,gcs7,105
20181102161000,hadoop02,1
20181102132000,dn03,1
20181103023000,dn03,1
20181102211000,dn03,1
20181102212000,hadoop03,1
20181102112000,KVMHost01,1
20181102183000,gcs5,3
20181102184000,gcs1,4292
20181102223000,gcs2,3
20181102101000,gcs4,3
20181102181000,gcs4,3
20181102185000,hadoop04,1
20181103012000,tsdn-svr1,186
20181103013000,tsdn-db,158
20181102140000,gcs1,4399
20181102150000,gcs7,135
20181102081000,gcs3,3
20181102081000,hadoop04,1
20181103061000,dn03,1
20181102211000,KVMHost01,1
20181102215000,hadoop04,1
20181103040000,platform2,1414
20181102112000,hadoop02,1
20181102125000,gcs2,3
20181102203000,DB-01,1
20181102204000,hadoop04,1
20181103020000,ans41,60
20181102155000,gcs5,3
20181103013000,gcs5,3
20181103013000,dn03,1
20181102105000,ans41,46
20181103071000,gcs7,105
20181102175000,dn02,1
20181102085000,ans41,46
20181102143000,gcs3,3
20181103044000,ans41,46
20181102215000,hadoop01,1
20181103083000,KVMHost01,1
20181103093000,hadoop03,1
20181102190000,gcs1,4399
20181102125000,gcs1,4325
20181102125000,gcs4,3
20181102125000,hadoop01,1
20181103010000,dn02,9
20181102082000,hadoop03,1
20181102204000,KVMHost02,8
20181102092000,DB-01,1
20181103042000,dn02,1
20181103085000,DB-01,1
20181102220000,tsdn-db,152
20181102221000,hadoop04,1
20181102224000,platform2,1441
20181103090000,dn02,6
20181102170000,dn02,6
20181102170000,gcs5,24
20181102190000,gcs3,27
20181102081000,hadoop02,1
20181102183000,dn03,1
20181102185000,gcs1,4296
20181103000000,DB-01,9
20181103080000,KVMHost02,16
20181102211000,gcs6,3
20181103074000,tsdn-db,164
20181103075000,gcs7,105
20181102132000,gcs4,3
20181103055000,dn02,1
20181103012000,platform2,1488
20181103020000,KVMHost01,9
20181102204000,gcs7,105
20181103081000,hadoop03,1
20181102151000,gcs6,3
20181102153000,hadoop02,1
20181102193000,gcs7,105
20181103005000,platform2,1417
20181102185000,DB-01,1
20181102140000,tsdn-db,152
20181103024000,gcs1,4325
20181103024000,gcs3,3
20181103043000,gcs2,3
20181102222000,gcs5,3
20181103054000,tsdn-db,158
20181103035000,dn03,1
20181103074000,dn03,1
20181102180000,gcs4,27
20181102152000,gcs6,3
20181102154000,gcs2,3
20181102080000,gcs2,5
20181102081000,gcs5,3
20181103081000,gcs4,3
20181103082000,gcs5,3
20181103085000,hadoop01,1
20181102143000,hadoop03,1
20181103013000,gcs1,4325
20181103034000,hadoop02,1
20181103000000,gcs6,29
20181103002000,hadoop02,1
20181102161000,gcs5,3
20181102162000,tsdn-db,219
20181102132000,KVMHost02,8
20181102225000,ans41,46
20181102101000,hadoop04,1
20181102185000,hadoop03,1
20181103021000,hadoop03,1
20181102214000,gcs2,3
20181102173000,gcs1,4292
20181102175000,gcs5,3
20181103013000,hadoop01,1
20181103044000,gcs4,3
20181102191000,tsdn-svr1,168
20181102194000,gcs3,3
20181102234000,ans41,46
20181102103000,dn03,1
20181103080000,gcs7,135
20181103030000,tsdn-db,170
20181103032000,gcs1,4292
20181103001000,gcs6,3
20181102092000,KVMHost01,1
20181102224000,gcs5,3
20181102225000,hadoop01,1
20181102160000,hadoop02,6
20181102161000,gcs4,3
20181102175000,dn03,1
20181102085000,gcs3,3
20181102230000,DB-01,6
20181102154000,hadoop03,1
20181102181000,tsdn-svr1,88
20181102204000,hadoop02,1
20181103041000,gcs6,3
20181102093000,hadoop01,1
20181103054000,dn02,1
20181103092000,KVMHost01,1
20181102215000,hadoop03,1
20181102190000,tsdn-svr1,286
20181102193000,gcs4,3
20181103013000,KVMHost02,4
20181103014000,hadoop02,1
20181102120000,hadoop01,6
20181102123000,gcs6,3
20181102145000,hadoop04,1
20181103033000,dn03,1
20181102082000,hadoop02,1
20181103082000,hadoop04,1
20181102133000,tsdn-svr1,64
20181103040000,gcs3,27
20181103050000,hadoop03,6
20181102135000,platform2,1417
20181102192000,gcs1,4325
20181102155000,gcs3,3
20181103014000,tsdn-svr1,163
20181102124000,KVMHost02,8
20181102173000,gcs7,105
20181102083000,dn02,1
20181102203000,gcs6,3
20181102222000,platform2,1420
20181102103000,gcs6,3
20181103051000,hadoop02,1
20181103053000,KVMHost02,4
20181103054000,gcs4,3
20181103060000,hadoop03,6
20181102210000,tsdn-db,155
20181102215000,gcs7,105
20181102124000,gcs5,3
20181103000000,gcs5,26
20181102203000,tsdn-svr1,230
20181102172000,hadoop01,1
20181103040000,KVMHost02,16
20181102085000,hadoop03,1
20181102132000,hadoop01,1
20181102183000,DB-01,1
20181103021000,DB-01,1
20181102221000,tsdn-db,153
20181102120000,dn03,6
20181103010000,hadoop02,9
20181102174000,tsdn-db,143
20181102180000,hadoop03,6
20181103064000,ans41,46
20181103014000,gcs4,3
20181102100000,hadoop01,6
20181102101000,gcs7,105
20181102082000,ans41,46
20181103090000,dn03,6
20181102204000,dn02,1
20181103023000,dn02,1
20181102151000,gcs7,105
20181102134000,dn03,1
20181102135000,hadoop01,1
20181103075000,gcs3,3
20181102145000,gcs5,3
20181102174000,hadoop04,1
20181102180000,hadoop02,6
20181102202000,dn03,1
20181103042000,hadoop01,1
20181103061000,tsdn-svr1,132
20181103062000,hadoop02,1
20181103030000,KVMHost02,19
20181102134000,gcs5,3
20181102113000,gcs1,4325
20181102114000,gcs3,3
20181102154000,gcs6,3
20181102215000,KVMHost02,4
20181102194000,platform2,1418
20181103000000,KVMHost01,9
20181103081000,hadoop01,1
20181102100000,platform2,1412
20181102103000,hadoop01,1
20181103011000,gcs7,105
20181103014000,gcs6,3
20181103015000,tsdn-db,163
20181102230000,tsdn-db,172
20181102213000,gcs5,3
20181102215000,platform2,1418
20181102112000,ans41,46
20181102142000,KVMHost01,1
20181102142000,dn02,1
20181103034000,hadoop03,1
20181102163000,KVMHost02,4
20181103005000,gcs1,4296
20181102171000,gcs2,3
20181102082000,platform2,1388
20181102084000,DB-01,1
20181102094000,gcs6,3
20181102222000,dn03,1
20181102111000,gcs7,105
20181102232000,KVMHost01,1
20181102160000,platform2,1412
20181102180000,gcs2,27
20181102140000,ans41,57
20181102143000,gcs1,4325
20181102173000,hadoop04,1
20181103034000,gcs1,4292
20181103034000,dn02,1
20181102195000,gcs1,4339
20181103045000,dn02,1
20181102092000,platform2,1418
20181103012000,gcs7,105
20181103081000,tsdn-db,162
20181103082000,gcs1,4325
20181103084000,gcs4,3
20181102105000,tsdn-db,149
20181102220000,ans41,57
20181102103000,dn02,1
20181103004000,gcs3,3
20181103050000,gcs3,27
20181103050000,gcs2,27
20181102175000,gcs4,3
20181103052000,gcs7,105
20181103034000,gcs2,10
20181102192000,tsdn-db,149
20181102194000,gcs5,3
20181102210000,hadoop02,6
20181102152000,hadoop03,1
20181102214000,KVMHost01,1
20181103021000,platform2,1435
20181102182000,hadoop04,1
20181102110000,DB-01,6
20181103073000,gcs4,3
20181102212000,tsdn-svr1,183
20181102214000,KVMHost02,8
20181103005000,gcs5,3
20181102083000,DB-01,1
20181102101000,gcs2,3
20181102131000,gcs2,3
20181102181000,dn03,1
20181102183000,tsdn-db,152
20181102200000,tsdn-db,158
20181102210000,dn02,6
20181102180000,gcs3,27
20181102084000,hadoop02,1
20181102085000,tsdn-db,143
20181103030000,dn02,9
20181102155000,tsdn-db,155
20181102155000,gcs1,4292
20181102113000,gcs3,3
20181102113000,gcs7,105
20181102115000,gcs5,3
20181102220000,tsdn-svr1,152
20181102221000,tsdn-svr1,304
20181103004000,dn03,1
20181103064000,gcs6,3
20181102191000,gcs3,3
20181102193000,platform2,1388
20181103075000,hadoop04,1
20181102231000,tsdn-db,157
20181102233000,tsdn-db,156
20181102212000,tsdn-db,146
20181103011000,hadoop02,1
20181102232000,ans41,46
20181103060000,gcs4,27
20181103074000,KVMHost02,8
20181102091000,gcs2,3
20181102094000,tsdn-db,150
20181102172000,gcs7,105
20181102165000,tsdn-db,148
20181103035000,gcs2,3
20181103063000,gcs5,3
20181102102000,dn03,1
20181102104000,gcs5,3
20181102150000,gcs6,27
20181102171000,hadoop01,1
20181102172000,gcs4,3
20181102084000,gcs4,3
20181103003000,gcs4,3
20181103010000,gcs2,29
20181103073000,gcs3,3
20181102221000,platform2,1417
20181102223000,gcs5,3
20181102225000,KVMHost01,1
20181102114000,hadoop04,1
20181103053000,gcs5,3
20181102132000,gcs5,3
20181102235000,platform2,1448
20181102180000,KVMHost01,6
20181103063000,tsdn-svr1,289
20181103001000,hadoop01,1
20181103001000,DB-01,1
20181102170000,KVMHost01,6
20181103054000,KVMHost02,8
20181103030000,ans41,63
20181102085000,KVMHost01,1
20181102090000,tsdn-db,158
20181102205000,tsdn-db,146
20181103042000,platform2,1417
20181103043000,tsdn-svr1,273
20181103045000,gcs5,3
20181102164000,KVMHost01,1
20181103085000,gcs6,3
20181102193000,hadoop01,1
20181102194000,gcs7,105
20181102135000,gcs1,4292
20181102223000,hadoop04,1
20181102110000,tsdn-db,152
20181102211000,KVMHost02,4
20181103065000,ans41,46
20181102192000,tsdn-svr1,624
20181103002000,hadoop01,1
20181103084000,gcs7,105
20181103031000,gcs5,10
20181103035000,hadoop01,1
20181102095000,gcs4,3
20181102095000,KVMHost01,1
20181102154000,gcs5,3
20181102154000,dn03,1
20181102182000,ans41,46
20181102205000,gcs4,3
20181102080000,dn02,5
20181103065000,tsdn-db,157
20181103054000,DB-01,1
20181103011000,ans41,46
20181103045000,hadoop03,1
20181102182000,KVMHost02,8
20181103034000,DB-01,18
20181102225000,gcs4,3
20181103092000,ans41,46
20181102130000,KVMHost01,6
20181102135000,dn02,1
20181102091000,hadoop01,1
20181102091000,KVMHost02,4
20181102150000,KVMHost01,6
20181102151000,dn03,1
20181102194000,ans41,46
20181102121000,tsdn-db,146
20181102124000,KVMHost01,1
20181103002000,gcs1,4292
20181102165000,gcs4,3
20181102165000,gcs7,105
20181102165000,KVMHost01,1
20181103065000,gcs5,3
20181102212000,gcs4,3
20181102220000,hadoop02,6
20181102132000,hadoop04,1
20181102195000,hadoop02,1
20181103051000,gcs1,4326
20181103030000,hadoop02,24
20181103000000,ans41,62
20181103005000,DB-01,1
20181102121000,gcs4,3
20181102100000,dn02,6
20181102163000,ans41,46
20181103074000,gcs6,3
20181102173000,KVMHost01,1
20181102185000,gcs7,105
20181102160000,KVMHost02,16
20181103051000,gcs2,3
20181103033000,hadoop01,16
20181103034000,KVMHost01,18
20181103035000,hadoop02,1
20181103062000,gcs7,105
20181103062000,ans41,46
20181103064000,gcs4,3
20181102201000,KVMHost01,1
20181102202000,hadoop02,1
20181102210000,gcs3,27
20181102231000,dn03,1
20181102234000,hadoop02,1
20181102103000,gcs7,105
20181102175000,tsdn-svr1,214
20181102223000,hadoop03,1
20181102224000,dn02,1
20181102225000,gcs7,105
20181102141000,platform2,1418
20181102145000,gcs3,3
20181103084000,dn03,1
20181102164000,ans41,46
20181103025000,hadoop04,1
20181102134000,hadoop03,1
20181102135000,KVMHost02,4
20181103092000,tsdn-svr1,69
20181103092000,hadoop02,1
20181103093000,gcs2,3
20181103080000,DB-01,6
20181103035000,ans41,46
20181103043000,KVMHost01,1
20181102171000,hadoop03,1
20181102174000,dn03,1
20181102085000,KVMHost02,4
20181102184000,gcs3,3
20181103032000,KVMHost02,19
20181103035000,DB-01,1
20181102230000,gcs6,27
20181102235000,gcs1,4339
20181102235000,gcs5,6
20181102102000,hadoop03,1
20181103021000,dn02,1
20181103010000,tsdn-svr1,321
20181102115000,ans41,46
20181103015000,gcs4,3
20181102205000,hadoop04,1
20181102150000,tsdn-svr1,543
20181102160000,gcs7,135
20181102211000,ans41,46
20181102215000,dn03,1
20181103052000,gcs6,3
20181102131000,hadoop01,1
20181103065000,KVMHost01,1
20181102222000,gcs1,4292
20181102174000,gcs5,3
20181102175000,tsdn-db,288
20181102160000,hadoop04,6
20181102165000,hadoop02,1
20181102195000,KVMHost01,1
20181103045000,hadoop02,1
20181103073000,hadoop04,1
20181103075000,ans41,46
20181103010000,DB-01,9
20181103013000,gcs6,3
20181102225000,tsdn-db,160
20181103092000,dn02,1
20181102200000,dn02,6
20181102205000,platform2,1417
20181102081000,hadoop03,1
20181103042000,KVMHost01,1
20181102143000,platform2,1413
20181103025000,platform2,1417
20181103090000,platform2,1441
20181102191000,gcs2,3
20181102160000,dn02,6
20181102161000,hadoop03,1
20181102152000,tsdn-db,195
20181102154000,KVMHost02,8
20181102211000,gcs7,105
20181102213000,dn02,1
20181103005000,tsdn-db,162
20181102233000,KVMHost02,4
20181102233000,hadoop01,1
20181102231000,gcs2,3
20181102091000,gcs6,3
20181103063000,hadoop03,1
20181103064000,gcs1,4325
20181102110000,hadoop01,6
20181102111000,gcs4,3
20181102160000,tsdn-svr1,126
20181102191000,dn03,1
20181102141000,dn02,1
20181103030000,gcs4,30
20181102184000,dn03,1
20181103031000,hadoop04,1
20181103031000,KVMHost02,4
20181103034000,gcs7,112
20181102231000,KVMHost01,1
20181102235000,dn02,2
20181102101000,tsdn-db,153
20181102105000,DB-01,1
20181103061000,gcs6,3
20181102142000,platform2,1417
20181103031000,DB-01,1
20181102222000,DB-01,1
20181102201000,dn03,1
20181102203000,tsdn-db,145
20181102084000,platform2,1441
20181102164000,hadoop03,1
20181102115000,tsdn-db,146
20181103035000,gcs7,105
20181103071000,ans41,46
20181103065000,hadoop04,1
20181103044000,tsdn-svr1,262
20181103020000,gcs7,137
20181102161000,dn03,1
20181102125000,dn02,1
20181102130000,gcs1,4366
20181102132000,gcs3,3
20181102232000,gcs4,3
20181102232000,gcs3,3
20181102110000,KVMHost02,16
20181103042000,gcs5,3
20181103042000,tsdn-db,165
20181103005000,KVMHost01,1
20181102080000,dn03,5
20181103032000,gcs4,3
20181102190000,gcs4,27
20181102144000,dn03,1
20181102153000,gcs6,3
20181102133000,KVMHost02,4
20181102182000,tsdn-db,143
20181102183000,gcs6,3
20181102095000,dn02,1
20181102222000,gcs7,105
20181102224000,hadoop02,1
20181102112000,gcs7,105
20181103004000,hadoop01,1
20181102170000,tsdn-svr1,210
20181102144000,tsdn-svr1,86
20181102162000,hadoop02,1
20181103055000,dn03,1
20181103030000,DB-01,9
20181103033000,gcs3,10
20181103042000,gcs7,105
20181102093000,dn02,1
20181102215000,tsdn-svr1,220
20181103021000,gcs6,3
20181103011000,tsdn-svr1,207
20181103031000,gcs7,105
20181102100000,tsdn-svr1,95
20181102201000,gcs7,105
20181102094000,gcs7,105
20181103055000,gcs4,3
20181102122000,gcs7,105
20181102122000,gcs1,4325
20181103093000,gcs1,4292
20181103061000,platform2,1418
20181103070000,tsdn-db,182
20181102212000,hadoop02,1
20181102212000,gcs6,3
20181102215000,KVMHost01,1
20181102232000,tsdn-svr1,36
20181102235000,dn03,2
20181103000000,gcs1,4366
